track,score,date,race,ml odds rank,score rank,odds rank,claimed last rank,post position,last 3 purse adv,distance worked rank,days since last race rank,trainer jock combo rank,trainer jock combo adv,trainer jock roi rank,trainer jock roi adv,avg turn time rank,avg turn time adv,current race type,distance,distance difference,days since last race,last finish,surface,program number,horse name,trainer,jockey,impr decl finish,imprv decl speed,weight last race,weight,last purse rank,last purse adv,class difference,lifetime earnings rank,lifetime earnings adv,ml odds current race,off odds current race,speed last race rank,speed last race adv,win % rank,win % adv,avg earnings distance rank,avg earnings distance adv,in the money rank,in the money adv,horses beaten rank,horses beaten adv,best speed last 3 rank,best speed last 3 adv,avg speed last 3 rank,avg speed last 3 adv,best lifetime speed rank,best lifetime speed adv,best speed track rank,best speed track adv,best speed distance rank,best speed distance adv,avg 2 of 3 speed rank,avg 2 of 3 speed adv,win payoff,place payoff,show payoff,finish position
MTH,//1008,20160708,8,7,8,8,,9,0,3,9,2,0,1,0,7,0,Mdn_Claimer,6,-2.5,19,8,dirt,9,HOKIE FEVER,FERRARO JAMES W,GARCIA WILMER A,0,0,109,119,5,0,-6.33,9,0,15,38.4,7,0,0,0,7,0,7,0,8,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,7
MTH,//600,20160708,8,5,6,6,,7,3.5,5,9,2,0,1,0,6,0,Mdn_Claimer,6,0,19,6,dirt,7,EASY LANDING,BARNEY EDWARD H,BOCACHICA O,0,0,124,124,2,0,-5.79,1,8.6,10,16.6,6,0,0,0,1,17.7,1,10.6,5,0,6,0,6,0,1,4.1,2,0,1,4.1,6,0,0,0,5.2,3
MTH,//72,20160708,8,4,2,4,,6,0,5,14,2,0,6,0,5,0,Mdn_Claimer,6,0.5,12,4,dirt,6,O'LUCEY,FRUZZETTI RICHARD J,KEISER CHELSEY,0,0,122,124,5,0,2.27,4,0,6,6.9,1,1.6,0,0,3,0,4,0,3,0,2,0,2,0,2,0,1,2.8,2,0,2,0,0,0,0,4
MTH,//600,20160708,8,7,6,7,,5,0,5,12,2,0,1,0,3,0,Mdn_Claimer,6,0,13,6,dirt,5,GRAM OF SILVER,RYAN DEREK S,KAY WINSTON R,0,0,118,109,4,0,-6.14,7,0,15,21.7,8,0,0,0,6,0,7,0,7,0,9,0,8,0,9,0,6,0,8,0,9,0,0,0,0,6
MTH,//2430,20160708,8,9,9,9,,4,0,5,6,2,0,1,0,8,0,Mdn_Claimer,6,-2.3,26,6,dirt,4,SILVER DANCER,SALEEM GORDON,MAYSONETT F,0,0,119,119,7,0,-0.68,8,0,30,127.4,9,0,0,0,8,0,7,0,9,0,8,0,9,0,8,0,9,0,6,0,8,0,0,0,0,9
MTH,//280,20160708,8,6,5,5,,3,0,2,4,2,0,6,0,1,5.5,Mdn_Claimer,6,0,35,3,dirt,3,ZINGARELLA,MCCOOEY THOMAS S JR,COTTO P L JR,0,0,118,119,7,0,-1.03,6,0,12,13.8,4,0,0,0,5,0,5,0,6,0,5,0,4,0,5,0,5,0,5,0,4,0,0,0,0,5
MTH,//28,20160708,8,3,1,2,,2,0,5,7,2,0,6,0,2,0,Mdn_Claimer,6,0,21,3,dirt,2,GEMONADE,EINHORN SKIP,FERRER J C,0,0,124,124,7,0,0.46,3,0,4,2.9,2,0,0,0,2,0,2,0,1,16,1,7.4,1,4.8,3,0,3,0,3,0,1,3.1,0,3.6,2.8,2
MTH,//96,20160708,8,2,4,3,,1,0,3,12,1,100,5,0,9,0,Mdn_Claimer,6,0.5,13,2,dirt,1,STEVENS IN TROUBLE,MAZZA JOHN F,LOPEZ PASCACIO,0,0,124,124,3,0,2.06,2,0,3.5,3.3,3,0,0,0,9,0,3,0,2,0,4,0,5,0,6,0,4,0,9,0,5,0,0,0,0,8
MTH,//135,20160704,1,5,5,5,c,6,0,2,8,4,0,5,0,4,0,Claiming,6,0,9,3,dirt,6,BLUEGRASS DEMON,TAMMARO JOHN J III,MAYSONETT F,0,1,121,119,3,0,1.89,6,0,6,19.2,5,0,5,0,3,0,3,0,3,0,5,0,4,0,3,0,1,0,2,0,5,0,0,0,0,5
MTH,//60,20160704,1,1,4,1,,5,26.9,2,3,2,0,4,0,1,5.1,Claiming,6,0,23,5,dirt,5,BULL DOZER,NAVARRO JORGE,COTTO P L JR,0,0,120,119,1,28.6,-9.7,1,51.7,2,1,3,0,1,23.1,1,49.3,2,0,4,0,1,0,1,0,1,18.9,4,0,1,15.5,2,0,4,2.4,2.1,1
